Entry,Ligand_name,Ligand_No,Ligand_smiles,Substrate_name,Substrate_No,Substrate_smiles,Yield
83,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,"4,4'-difluorobenzophenone",1d,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,99
84,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,acetophenone,1e,CC(C1=CC=CC=C1)=O,70
85,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,"2,2,2-trifluoroacetophenone",1f,O=C(C1=CC=CC=C1)C(F)(F)F,90
86,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,cyclohexyl_phenyl_ketone,1g,O=C(C1CCCCC1)C2=CC=CC=C2,96
87,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,alpha-tetralone,1h,O=C1CCCC2=CC=CC=C21,19
88,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,beta-tetralone,1i,O=C1CCC2=CC=CC=C2C1,96
89,xantphos,L9,CC1(C)C2=CC=CC(P(C3=CC=CC=C3)C4=CC=CC=C4)=C2OC5=C1C=CC=C5P(C6=CC=CC=C6)C7=CC=CC=C7,dicyclohexyl_ketone,1j,O=C(C1CCCCC1)C2CCCCC2,27
90,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,benzophenone,1a,O=C(C1=CC=CC=C1)C2=CC=CC=C2,3
91,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,"4,4'-dimethylbenzophenone",1b,O=C(C1=CC=C(C)C=C1)C2=CC=C(C)C=C2,2
92,"1,3-bis[(di-tert-butylphosphino)oxy]benzene",L10,CC(P(C(C)(C)C)OC1=CC=CC(OP(C(C)(C)C)C(C)(C)C)=C1)(C)C,"4,4'-dimethoxybenzophenone",1c,O=C(C1=CC=C(C=C1)OC)C2=CC=C(C=C2)OC,1
